MLS #,Stat,Closed Date,Sold Pr,Type,Yr Blt,Street #,Str Name,Area,Zip,ASF,# Rms,# Full Baths,# Half Baths,Bsmt Bth,Beds,Bsmt. Beds,Garage Type,# Garage Spaces,# Parking Spaces,,
09886332,CLSD,6/1/2018,389000,Raised Ranch,1951,8310,Keystone,76,60076,0,10,2,0,Yes,3,0,Detached,2,0,,
09589172,CLSD,6/2/2017,390000,1.5 Story,1954,8642,Keystone,76,60076,0,9,2,0,Yes,3,1,Detached,2,0,,
09848729,CLSD,6/15/2018,394500,1 Story,UNK,9018,SLEEPING BEAR,76,60076,0,7,2,0,No,3,0,Detached,2,0,,
10104119,CLSD,2/1/2019,395000,2 Stories,1953,4915,Sherwin,76,60077,0,10,3,0,Yes,5,1,Detached,2,0,,
09638401,CLSD,8/7/2017,405000,1 Story,1959,5336,Carol,76,60077,0,10,2,0,No,3,2,Detached,2,0,,
10062929,CLSD,10/25/2018,410000,Split Level,1969,4245,GOLF,76,60076,0,8,2,0,No,3,0,Detached,3,0,,
09728310,CLSD,10/5/2017,415000,1 Story,1957,8343,Kostner,76,60076,0,8,3,0,Yes,3,1,Detached,2,0,,
09994634,CLSD,8/29/2018,418000,1 Story,1955,9643,Kedvale,76,60076,0,6,2,0,No,3,0,Detached,2.5,0,,
09788287,CLSD,12/5/2017,425000,Split Level,1962,3831,Warren,76,60076,0,7,2,0,No,3,0,Detached,2.5,0,,
10061738,CLSD,9/28/2018,430000,2 Stories,1939,7904,Kilbourn,76,60076,0,7,1,1,No,3,0,Detached,2,0,,
09854695,CLSD,4/20/2018,545000,1.5 Story,1949,8026,Lorel,76,60077,0,12,3,1,Yes,5,0,Detached,2,0,,
09598095,CLSD,6/12/2017,695000,2 Stories,2012,5120,Jarlath,76,60077,0,8,2,1,No,5,0,Detached,2,0,,
09921252,CLSD,7/6/2018,122500,Condo,1928,8911,Lamon,76,60077,0,5,2,0,No,1,0,Detached,1,0,,
09493011,CLSD,3/8/2017,181000,Condo,UNK,8910,Skokie,76,60077,0,6,1,0,No,2,0,Detached,1,0,,
09604128,CLSD,6/23/2017,205000,Townhouse-2 Story,1956,4941,Carol,76,60077,0,6,1,1,No,2+1 bsmt,1,Detached,1,0,,
10134629,CLSD,2/28/2019,210000,"1/2 Duplex, Townhouse-2 Story",1943,8311,Lawndale,76,60076,0,5,1,0,No,2,0,Detached,2,0,,
09696149,CLSD,9/26/2017,250000,1/2 Duplex,1961,8309,Kimball,76,60076,0,8,1,1,No,3,0,Detached,1,0,,
09654460,CLSD,8/4/2017,175000,Condo,1978,4949,Golf,76,60077,0,5,2,0,No,2,0,None,0,0,,
09772453,CLSD,11/16/2017,260000,1 Story,1954,8439,Lawndale,76,60076,0,7,1,1,No,3,0,None,0,1,,
09790922,CLSD,12/15/2017,80000,Condo,1956,8541,Lotus,76,60077,0,4,1,0,No,1,0,None,0,1,,
09705754,CLSD,10/30/2017,86000,Condo,1956,8541,Lotus,76,60077,0,4,1,0,No,1,0,None,0,1,,
09314893,CLSD,6/6/2017,88000,"Condo, Mid Rise (4-6 Stories)",1970,8232,NILES CENTER,76,60077,0,4,1,0,No,1,0,None,0,1,,
09309216,CLSD,3/27/2017,90000,Condo,UNK,4654,KEENEY,76,60076,0,5,1,1,No,2,0,None,0,1,,
09578679,CLSD,6/21/2017,90000,Condo,UNK,8845,LACROSSE,76,60077,0,3,1,0,No,1,0,None,0,1,,
10158662,CLSD,1/30/2019,97000,Condo,1956,8541,Lotus,76,60077,0,6,1,0,No,2,0,None,0,1,,
09499157,CLSD,3/29/2017,102100,Condo,1957,8854,LAMON,76,60077,0,6,1,0,No,2,0,None,0,1,,
09569167,CLSD,5/16/2017,105000,"Condo, Mid Rise (4-6 Stories)",UNK,5014,Church,76,60076,0,4,1,0,No,1,0,None,0,1,,
